JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters
0-24-22,24,22,8624,528,62576,2,22800,668800,1,3,22
0-24-33,24,33,12936,792,58264,2,15600,686400,1,3,33
0-24-44,24,44,17248,1056,53952,2,12000,704000,1,3,44
0-24-55,24,55,21560,1320,49640,2,9600,704000,1,3,55
0-24-65,24,65,25480,1560,45720,2,8400,728000,1,3,65
0-24-75,24,75,29400,1800,41800,2,7200,720000,1,3,75
0-24-86,24,86,33712,2064,37488,2,6000,688000,1,3,86
0-24-96,24,96,37632,2304,33568,2,6000,768000,1,3,96
0-24-107,24,107,41944,2568,29256,2,4800,684800,1,3,107
0-24-117,24,117,45864,2808,25336,2,4800,748800,1,3,117
0-24-127,24,127,49784,3048,21416,2,4800,812800,1,3,127
0-24-137,24,137,53704,3288,17496,2,3600,657600,1,3,137
0-24-147,24,147,57624,3528,13576,2,3600,705600,1,3,147
0-24-157,24,157,61544,3768,9656,2,3600,753600,1,3,157
0-24-167,24,167,65464,4008,5736,2,3600,801600,1,3,167
0-24-177,24,177,69384,4248,1816,2,3600,849600,1,3,177
0-40-22,40,22,14256,880,56944,2,22800,601920,1,5,22
0-40-33,40,33,21384,1320,49816,2,15600,617760,1,5,33
0-40-44,40,44,28512,1760,42688,2,12000,633600,1,5,44
0-40-55,40,55,35640,2200,35560,2,9600,633600,1,5,55
0-40-65,40,65,42120,2600,29080,2,8400,655200,1,5,65
0-40-75,40,75,48600,3000,22600,2,7200,648000,1,5,75
0-40-86,40,86,55728,3440,15472,2,6000,619200,1,5,86
0-40-96,40,96,62208,3840,8992,2,6000,691200,1,5,96
0-40-107,40,107,69336,4280,1864,2,4800,616320,1,5,107
0-48-22,48,22,17072,1056,54128,2,22800,585200,1,6,22
0-48-33,48,33,25608,1584,45592,2,15600,600600,1,6,33
0-48-44,48,44,34144,2112,37056,2,12000,616000,1,6,44
0-48-55,48,55,42680,2640,28520,2,9600,616000,1,6,55
0-48-65,48,65,50440,3120,20760,2,8400,637000,1,6,65
0-48-75,48,75,58200,3600,13000,2,7200,630000,1,6,75
0-48-86,48,86,66736,4128,4464,2,6000,602000,1,6,86
0-80-22,80,22,28336,1760,42864,2,22800,601920,2,5,22
0-80-33,80,33,42504,2640,28696,2,15600,617760,2,5,33
0-80-44,80,44,56672,3520,14528,2,12000,633600,2,5,44
0-80-55,80,55,70840,4400,360,2,9600,633600,2,5,55
0-120-22,120,22,42416,2640,28784,2,22800,601920,3,5,22
0-120-33,120,33,63624,3960,7576,2,15600,617760,3,5,33
0-200-22,200,22,70576,4400,624,2,22800,601920,5,5,22
